question_id,category,question,expected_behavior,controlled_route,controlled_answer,controlled_mode,llm_route,llm_answer,llm_sql,llm_should_query,llm_validation_status,llm_execution_status,comparison_note,status
SQL11,stats_joueur,"Combien de points, de rebonds et de passes pour Shai Gilgeous-Alexander ?",Fiche d'un joueur nommé. Contrôlé OK.,sql,"Statistiques de Shai Gilgeous-Alexander :
1. Joueur : Shai Gilgeous-Alexander, Équipe : Oklahoma City Thunder, Points : 2485, Rebonds : 380, Passes décisives : 486, 3P% : 37.5",,sql,"1. Joueur : Shai Gilgeous-Alexander, Points : 2485, Rebonds : 380, Passes décisives : 486","SELECT p.player_name, s.points, s.rebounds, s.assists FROM stats s JOIN players p ON p.player_id = s.player_id WHERE p.player_name = 'Shai Gilgeous-Alexander'",True,ok,ok,Réponses cohérentes (même nombre et même nom propre détectés).,same
SQL12,stats_joueur,"Combien de points, de rebonds et de passes a réalisés Victor Wembanyama ?",Fiche d'un joueur nommé. Contrôlé OK.,sql,"Statistiques de Victor Wembanyama :
1. Joueur : Victor Wembanyama, Équipe : San Antonio Spurs, Points : 1118, Rebonds : 506, Passes décisives : 170, 3P% : 35.2",,sql,"1. Joueur : Victor Wembanyama, Points : 1118, Rebonds : 506, Passes décisives : 170","SELECT p.player_name, s.points, s.rebounds, s.assists FROM stats s JOIN players p ON p.player_id = s.player_id WHERE p.player_name = 'Victor Wembanyama'",True,ok,ok,Réponses cohérentes (même nombre et même nom propre détectés).,same
SQL13,stats_joueur,Combien de points a marqué LeBron James cette saison ?,Statistique d'un joueur nommé. Contrôlé renvoie sa fiche.,sql,"Statistiques de LeBron James :
1. Joueur : LeBron James, Équipe : Los Angeles Lakers, Points : 1708, Rebonds : 546, Passes décisives : 574, 3P% : 37.6",,sql,1. Points : 1708,SELECT s.points FROM stats s JOIN players p ON p.player_id = s.player_id WHERE p.player_name = 'LeBron James',True,ok,ok,Réponses cohérentes (même nombre et même nom propre détectés).,same
SQL14,filtre_equipe,Quels joueurs des Lakers ont marqué plus de 1000 points ?,Filtre équipe + seuil. Contrôlé NON couvert (risque de réponse générique).,sql,"Joueurs avec le plus de points :
1. Joueur : Shai Gilgeous-Alexander, Équipe : Oklahoma City Thunder, Points : 2485
2. Joueur : Anthony Edwards, Équipe : Minnesota Timberwolves, Points : 2180
3. Joueur : Nikola Jokić, Équipe : Denver Nuggets, Points : 2072
4. Joueur : Giannis Antetokounmpo, Équipe : Milwaukee Bucks, Points : 2037
5. Joueur : Jayson Tatum, Équipe : Boston Celtics, Points : 1930",,sql,"1. Joueur : LeBron James, Points : 1708
2. Joueur : Austin Reaves, Points : 1475
3. Joueur : Luka Dončić, Points : 1410","SELECT p.player_name, s.points FROM stats s JOIN players p ON p.player_id = s.player_id WHERE p.team_code = 'LAL' AND s.points > 1000 ORDER BY s.points DESC LIMIT 50",True,ok,ok,Réponses cohérentes (même nombre et même nom propre détectés).,same
SQL15,filtre_equipe,Quel est le meilleur marqueur des Boston Celtics ?,Meilleur marqueur d'une équipe. Contrôlé NON couvert.,sql,"Joueurs avec le plus de points :
1. Joueur : Shai Gilgeous-Alexander, Équipe : Oklahoma City Thunder, Points : 2485
2. Joueur : Anthony Edwards, Équipe : Minnesota Timberwolves, Points : 2180
3. Joueur : Nikola Jokić, Équipe : Denver Nuggets, Points : 2072
4. Joueur : Giannis Antetokounmpo, Équipe : Milwaukee Bucks, Points : 2037
5. Joueur : Jayson Tatum, Équipe : Boston Celtics, Points : 1930",,sql,"1. Joueur : Jayson Tatum, Équipe : Boston Celtics, Points : 1930
2. Joueur : Jaylen Brown, Équipe : Boston Celtics, Points : 1399
3. Joueur : Derrick White, Équipe : Boston Celtics, Points : 1246
4. Joueur : Payton Pritchard, Équipe : Boston Celtics, Points : 1144
5. Joueur : Kristaps Porziņģis, Équipe : Boston Celtics, Points : 819","SELECT p.player_name, t.team_name, s.points FROM stats s JOIN players p ON p.player_id = s.player_id JOIN teams t ON t.team_code = p.team_code WHERE t.team_name = 'Boston Celtics' ORDER BY s.points DESC LIMIT 10",True,ok,ok,Réponses cohérentes (même nombre et même nom propre détectés).,same
SQL16,filtre_equipe,Combien de joueurs composent les Golden State Warriors ?,Comptage filtré par équipe. Contrôlé NON couvert directement.,sql,"Cette question chiffrée n'est pas encore prise en charge. Je peux calculer : les meilleurs marqueurs, rebondeurs, passeurs, contreurs, intercepteurs et joueurs à triple-doubles ; le meilleur pourcentage à 3 points (avec un volume minimum de tentatives) ; le total de points par équipe ; le nombre de joueurs par équipe ; le joueur le plus âgé ; et la fiche d'un joueur. Je préfère ne pas inventer de chiffre.",,sql,1. Nombre de joueurs : 17,SELECT COUNT(DISTINCT p.player_id) AS player_count FROM players p JOIN teams t ON p.team_code = t.team_code WHERE t.team_name = 'Golden State Warriors',True,ok,ok,Le LLM couvre une question que le contrôlé décline.,controlled_refuses
SQL17,filtre_equipe,Quels joueurs des Denver Nuggets ont plus de 5 rebonds par match ?,Filtre équipe + moyenne par match. 'par match' = rebounds/games_played (non stocké).,sql,"Joueurs avec le plus de rebonds :
1. Joueur : Ivica Zubac, Équipe : Los Angeles Clippers, Rebonds : 1008
2. Joueur : Domantas Sabonis, Équipe : Sacramento Kings, Rebonds : 973
3. Joueur : Karl-Anthony Towns, Équipe : New York Knicks, Rebonds : 922
4. Joueur : Nikola Jokić, Équipe : Denver Nuggets, Rebonds : 889
5. Joueur : Jalen Duren, Équipe : Detroit Pistons, Rebonds : 803",,sql,"1. Joueur : Nikola Jokić, Équipe : Denver Nuggets, Rebonds : 889
2. Joueur : Michael Porter Jr,, Équipe : Denver Nuggets, Rebonds : 539
3. Joueur : Christian Braun, Équipe : Denver Nuggets, Rebonds : 411
4. Joueur : Russell Westbrook, Équipe : Denver Nuggets, Rebonds : 368
5. Joueur : DeAndre Jordan, Équipe : Denver Nuggets, Rebonds : 286","SELECT p.player_name, t.team_name, s.rebounds FROM stats s JOIN players p ON p.player_id = s.player_id JOIN teams t ON t.team_code = p.team_code WHERE p.team_code = 'DEN' AND s.rebounds > 5 ORDER BY s.rebounds DESC LIMIT 50",True,ok,ok,Réponses cohérentes (même nombre et même nom propre détectés).,same
SQL18,seuil_numerique,Combien de joueurs ont marqué plus de 1500 points ?,Comptage avec seuil. Contrôlé NON couvert.,sql,"Joueurs avec le plus de points :
1. Joueur : Shai Gilgeous-Alexander, Équipe : Oklahoma City Thunder, Points : 2485
2. Joueur : Anthony Edwards, Équipe : Minnesota Timberwolves, Points : 2180
3. Joueur : Nikola Jokić, Équipe : Denver Nuggets, Points : 2072
4. Joueur : Giannis Antetokounmpo, Équipe : Milwaukee Bucks, Points : 2037
5. Joueur : Jayson Tatum, Équipe : Boston Celtics, Points : 1930",,sql,1. Players above 1500 points : 23,SELECT COUNT(DISTINCT p.player_id) AS players_above_1500_points FROM stats s JOIN players p ON p.player_id = s.player_id WHERE s.points > 1500,True,ok,ok,Les deux répondent mais les réponses semblent diverger (à vérifier).,different
SQL19,seuil_numerique,Quels joueurs ont délivré plus de 500 passes décisives ?,Filtre avec seuil. Contrôlé NON couvert.,sql,"Joueurs avec le plus de passes décisives :
1. Joueur : Trae Young, Équipe : Atlanta Hawks, Passes décisives : 882
2. Joueur : Nikola Jokić, Équipe : Denver Nuggets, Passes décisives : 714
3. Joueur : James Harden, Équipe : Los Angeles Clippers, Passes décisives : 687
4. Joueur : Tyrese Haliburton, Équipe : Indiana Pacers, Passes décisives : 672
5. Joueur : Cade Cunningham, Équipe : Detroit Pistons, Passes décisives : 637",,sql,"1. Joueur : Trae Young, Équipe : Atlanta Hawks, Passes décisives : 882
2. Joueur : Nikola Jokić, Équipe : Denver Nuggets, Passes décisives : 714
3. Joueur : James Harden, Équipe : Los Angeles Clippers, Passes décisives : 687
4. Joueur : Tyrese Haliburton, Équipe : Indiana Pacers, Passes décisives : 672
5. Joueur : Cade Cunningham, Équipe : Detroit Pistons, Passes décisives : 637","SELECT p.player_name, t.team_name, s.assists FROM stats s JOIN players p ON p.player_id = s.player_id JOIN teams t ON t.team_code = p.team_code WHERE s.assists > 500 ORDER BY s.assists DESC LIMIT 20",True,ok,ok,Réponses cohérentes (même nombre et même nom propre détectés).,same
SQL20,seuil_numerique,Combien de joueurs ont un pourcentage à 3 points supérieur à 40 % avec au moins 100 tentatives ?,Comptage avec seuil + volume. Contrôlé NON couvert.,sql,"Cette question chiffrée n'est pas encore prise en charge. Je peux calculer : les meilleurs marqueurs, rebondeurs, passeurs, contreurs, intercepteurs et joueurs à triple-doubles ; le meilleur pourcentage à 3 points (avec un volume minimum de tentatives) ; le total de points par équipe ; le nombre de joueurs par équipe ; le joueur le plus âgé ; et la fiche d'un joueur. Je préfère ne pas inventer de chiffre.",,sql,1. Players count : 284,SELECT COUNT(DISTINCT p.player_id) AS players_count FROM stats s JOIN players p ON p.player_id = s.player_id WHERE s.three_point_pct > 0.4 AND s.three_points_attempted >= 100,True,ok,ok,Le LLM couvre une question que le contrôlé décline.,controlled_refuses
SQL21,seuil_numerique,Quels joueurs ont disputé plus de 70 matchs ?,Filtre avec seuil sur games_played. Contrôlé NON couvert.,sql,"Cette question chiffrée n'est pas encore prise en charge. Je peux calculer : les meilleurs marqueurs, rebondeurs, passeurs, contreurs, intercepteurs et joueurs à triple-doubles ; le meilleur pourcentage à 3 points (avec un volume minimum de tentatives) ; le total de points par équipe ; le nombre de joueurs par équipe ; le joueur le plus âgé ; et la fiche d'un joueur. Je préfère ne pas inventer de chiffre.",,sql,"1. Joueur : Jalen Green, Matchs joués : 82
2. Joueur : Mikal Bridges, Matchs joués : 82
3. Joueur : Malik Beasley, Matchs joués : 82
4. Joueur : Jarrett Allen, Matchs joués : 82
5. Joueur : Harrison Barnes, Matchs joués : 82","SELECT p.player_name, s.games_played FROM stats s JOIN players p ON p.player_id = s.player_id WHERE s.games_played > 70 ORDER BY s.games_played DESC LIMIT 50",True,ok,ok,Le LLM couvre une question que le contrôlé décline.,controlled_refuses
SQL22,agregation_equipe,Quel est le total de points marqués par chaque équipe ?,Total de points par équipe. Contrôlé couvre (le plus / le moins).,sql,"Équipes ayant marqué le plus de points (total) :
1. Équipe : Detroit Pistons, Points totaux : 10292
2. Équipe : San Antonio Spurs, Points totaux : 10198
3. Équipe : Cleveland Cavaliers, Points totaux : 10180
4. Équipe : Milwaukee Bucks, Points totaux : 10016
5. Équipe : Dallas Mavericks, Points totaux : 9970",,sql,"1. Équipe : Detroit Pistons, Points totaux : 10292
2. Équipe : San Antonio Spurs, Points totaux : 10198
3. Équipe : Cleveland Cavaliers, Points totaux : 10180
4. Équipe : Milwaukee Bucks, Points totaux : 10016
5. Équipe : Dallas Mavericks, Points totaux : 9970","SELECT t.team_name, SUM(s.points) AS total_points FROM stats s JOIN players p ON p.player_id = s.player_id JOIN teams t ON t.team_code = p.team_code GROUP BY t.team_name ORDER BY total_points DESC LIMIT 10",True,ok,ok,Réponses cohérentes (même nombre et même nom propre détectés).,same
SQL23,agregation_equipe,Quelle équipe compte le plus de joueurs ?,Comptage de joueurs par équipe (maximum). Contrôlé couvre.,sql,"Cette question chiffrée n'est pas encore prise en charge. Je peux calculer : les meilleurs marqueurs, rebondeurs, passeurs, contreurs, intercepteurs et joueurs à triple-doubles ; le meilleur pourcentage à 3 points (avec un volume minimum de tentatives) ; le total de points par équipe ; le nombre de joueurs par équipe ; le joueur le plus âgé ; et la fiche d'un joueur. Je préfère ne pas inventer de chiffre.",,sql,"1. Équipe : Philadelphia 76ers, Nombre de joueurs : 23
2. Équipe : New Orleans Pelicans, Nombre de joueurs : 22
3. Équipe : Charlotte Hornets, Nombre de joueurs : 22
4. Équipe : Toronto Raptors, Nombre de joueurs : 21
5. Équipe : Minnesota Timberwolves, Nombre de joueurs : 20","SELECT t.team_name, COUNT(DISTINCT p.player_id) AS player_count FROM teams t LEFT JOIN players p ON p.team_code = t.team_code GROUP BY t.team_name ORDER BY player_count DESC LIMIT 10",True,ok,ok,Le LLM couvre une question que le contrôlé décline.,controlled_refuses
SQL24,agregation_equipe,Combien de joueurs y a-t-il par équipe ?,Comptage de joueurs par équipe. Contrôlé couvre.,sql,"Nombre de joueurs par équipe :
1. Équipe : Philadelphia 76ers, Nombre de joueurs : 23
2. Équipe : New Orleans Pelicans, Nombre de joueurs : 22
3. Équipe : Charlotte Hornets, Nombre de joueurs : 22
4. Équipe : Toronto Raptors, Nombre de joueurs : 21
5. Équipe : Minnesota Timberwolves, Nombre de joueurs : 20",,sql,"1. Équipe : Philadelphia 76ers, Nombre de joueurs : 23
2. Équipe : New Orleans Pelicans, Nombre de joueurs : 22
3. Équipe : Charlotte Hornets, Nombre de joueurs : 22
4. Équipe : Toronto Raptors, Nombre de joueurs : 21
5. Équipe : Minnesota Timberwolves, Nombre de joueurs : 20","SELECT t.team_name, COUNT(DISTINCT p.player_id) AS player_count FROM teams t LEFT JOIN players p ON t.team_code = p.team_code GROUP BY t.team_name ORDER BY player_count DESC LIMIT 50",True,ok,ok,Réponses cohérentes (même nombre et même nom propre détectés).,same
SQL25,agregation_equipe,Quelle équipe a la meilleure moyenne de points par joueur ?,Moyenne de points par joueur et par équipe. Contrôlé NON couvert.,sql,"Cette question chiffrée n'est pas encore prise en charge. Je peux calculer : les meilleurs marqueurs, rebondeurs, passeurs, contreurs, intercepteurs et joueurs à triple-doubles ; le meilleur pourcentage à 3 points (avec un volume minimum de tentatives) ; le total de points par équipe ; le nombre de joueurs par équipe ; le joueur le plus âgé ; et la fiche d'un joueur. Je préfère ne pas inventer de chiffre.",,sql,"1. Équipe : Denver Nuggets, Avg points per player : 582.2941176470588
2. Équipe : San Antonio Spurs, Avg points per player : 566.5555555555555
3. Équipe : Cleveland Cavaliers, Avg points per player : 565.5555555555555
4. Équipe : Boston Celtics, Avg points per player : 561.8235294117648
5. Équipe : Oklahoma City Thunder, Avg points per player : 548.8888888888889","SELECT t.team_name, AVG(s.points) AS avg_points_per_player FROM stats s JOIN players p ON p.player_id = s.player_id JOIN teams t ON t.team_code = p.team_code GROUP BY t.team_name ORDER BY avg_points_per_player DESC LIMIT 10",True,ok,ok,Le LLM couvre une question que le contrôlé décline.,controlled_refuses
SQL26,ambigue,Qui est le meilleur joueur de la NBA cette saison ?,Métrique non définie. Les deux devraient refuser ou demander une précision.,sql,"Cette question chiffrée n'est pas encore prise en charge. Je peux calculer : les meilleurs marqueurs, rebondeurs, passeurs, contreurs, intercepteurs et joueurs à triple-doubles ; le meilleur pourcentage à 3 points (avec un volume minimum de tentatives) ; le total de points par équipe ; le nombre de joueurs par équipe ; le joueur le plus âgé ; et la fiche d'un joueur. Je préfère ne pas inventer de chiffre.",,sql,Cette question chiffrée n'a pas pu être traitée de façon fiable : je préfère ne pas avancer de chiffre.,,False,skipped,skipped,Les deux modes déclinent la question (cohérent).,same
SQL27,ambigue,Quel joueur est le plus régulier cette saison ?,'Régulier' n'est pas une colonne. Ambiguë.,sql,"Cette question chiffrée n'est pas encore prise en charge. Je peux calculer : les meilleurs marqueurs, rebondeurs, passeurs, contreurs, intercepteurs et joueurs à triple-doubles ; le meilleur pourcentage à 3 points (avec un volume minimum de tentatives) ; le total de points par équipe ; le nombre de joueurs par équipe ; le joueur le plus âgé ; et la fiche d'un joueur. Je préfère ne pas inventer de chiffre.",,sql,Cette question chiffrée n'a pas pu être traitée de façon fiable : je préfère ne pas avancer de chiffre.,,False,skipped,skipped,Les deux modes déclinent la question (cohérent).,same
